,centroid_x,centroid_y,minx,miny,maxx,maxy,watershed_area,station
75151,34.65791659782076,59.22208268363095,33.607468073804114,58.69049941607151,35.596648765175885,60.00178630843642,7451.737151727759,75151
75156,34.00778473888089,58.978288685166724,33.69987398581532,58.8599340570127,34.41447842724567,59.13702269270326,694.8650381661477,75156
75168,35.56723100518478,60.16144547113274,34.96337060032361,59.88930369367911,36.06511996776269,60.498411302514214,2407.5115789173756,75168
75176,35.41311929283178,59.770337897329576,35.01416122995455,59.47071761064945,35.87439393017567,60.03590764197063,1663.021149031903,75176
75190,36.88357981094271,59.79945514516036,36.47106999494354,59.334752461086296,37.369437342256475,60.11907852044979,2213.1443795207447,75190
75196,37.83142244121132,59.32720620590248,37.648221752332574,59.21433639296929,38.023482107275015,59.428729030221774,358.5213033520156,75196
75198,38.46416468040773,60.207954767383896,38.354650202922755,60.166655264390926,38.59876827126292,60.236669308677364,65.62520869487663,75198
75200,37.76947122803519,59.552418016859235,37.4616095330859,59.40482053364008,38.07565548624008,59.760503969747184,715.7527110383971,75200
75201,37.575680020417046,59.66863679918058,37.4616095330859,59.574881525772746,37.66594631293322,59.760503969747184,134.0789839713603,75201
75202,37.66777549259703,59.76029838897587,37.184471185380474,59.595367718109294,38.12076378966451,59.91950276932651,1126.2196901528716,75202
75203,36.713760386025974,60.133723869336826,36.52001761214046,60.00256838314651,36.96475627005591,60.24708140597875,385.1238542746683,75203
75206,36.584855132938536,60.61541604906044,36.36909501868344,60.53499849955958,36.82840042696636,60.70549838329099,283.8906248447285,75206
75208,36.36865419316438,60.3271878840978,35.78216835333734,60.06028464594972,36.98228162898296,60.56868591827035,2401.8892182055597,75208
75209,37.65985973699731,61.16465552542582,37.297144755408524,60.79516369150422,38.072236405322116,61.53079538358468,1632.9209701556067,75209
75210,37.8542154301889,60.860683029936546,37.29714475540855,60.26214754927614,38.3683032136393,61.53079538358478,4185.310773664161,75210
75211,38.11011033893448,60.82041632963835,37.794562375330905,60.594447755118004,38.35799855819356,61.01910545992754,864.4767822547675,75211
75219,38.98688309671109,57.84894283207576,38.766513464165996,57.74058137740392,39.29742817749037,57.98177586789273,483.9369219320599,75219
75221,39.61115353822722,57.988179641405836,39.452692319035506,57.85593642578365,39.78462675079353,58.14626623184963,341.3457376229266,75221
75222,39.33329926977972,57.739106997571895,39.12626528643955,57.67659936873094,39.56724165420433,57.80216767977737,268.0401851489381,75222
75225,39.258030189832034,57.23100622286828,38.19830003408484,56.918614361135546,40.48277297195346,57.62961554902433,4886.373367401876,75225
75227,37.501490101291935,57.93086249608539,37.00876924012283,57.72751276303427,37.92391216768042,58.196664538482366,1546.8960374215944,75227
75235,40.42362220310201,57.400440279350136,40.286577921663834,57.29255812052927,40.59891546038461,57.507792334982575,286.0706911413838,75235
75236,40.20204792433131,58.062206706130965,39.908537214674304,57.97932344192076,40.46333664240985,58.15228560148194,326.1312131008095,75236
75238,40.126519344934586,58.413132808968506,39.8033490103846,58.26644469642424,40.496747367254436,58.579568719515464,708.8819106939193,75238
75239,42.51541425240226,59.14151997108914,42.157549370805164,59.01547057857366,42.99326245111568,59.31971364097273,803.2458775225033,75239
75241,41.987068282381166,58.82023791075115,40.83170891334904,58.1979182710755,42.99326245111568,59.31971364097273,8970.60590246177,75241
75254,42.092950326422425,58.21769302158984,41.625262154900966,57.993317271293954,42.4576635701059,58.40754123348699,1001.7792757156864,75254
75257,41.7366898346648,58.14256363290056,41.2409873452452,58.01672894129246,42.13126293139919,58.26277419165192,766.8156598072854,75257
75259,40.52711848673543,58.57446991568236,40.09184539154332,58.300327905442984,41.026042790253264,58.85900403404526,1982.93517767325,75259
75263,41.350973872048016,57.90509042776388,41.057088709165974,57.70688409961888,41.8187295507693,58.121532478741884,852.0280808816295,75263
